"CHANGENUMBER","DATE","DOCUMENTNUMBER","OFFICE","TITLE"
"7","2017-07-10T05:00:00Z","150/5100-17","APP-400","Land Acquisition and Relocation Assistance for Airport Improvement Program Assisted Projects (Consolidated through Change 7)"
"0","2008-05-13T05:00:00Z","91-81","AJR-1","Dual J80 Route Procedure"
"0","1972-11-08T05:00:00Z","150/5300-7B","ABP-420","FAA Policy on Facility Relocations Occasioned by Airport Improvements or Changes"
"0","2008-12-11T05:00:00Z","90-91K","AJR-1","North American Route Program"
"0","2008-09-10T05:00:00Z","150/5210-15A","AAS-100","Aircraft Rescue and Firefighting Station Building Design"
"0","2009-07-09T05:00:00Z","20-163","AIR-100","Displaying Geometric Altitude Relative to Mean Sea Level"
"0","2008-10-24T05:00:00Z","25.795-6","ANM-100","Least Risk Bomb Location"
"0","2008-10-24T05:00:00Z","25.795-4","ANM-100","Passenger Cabin Smoke Protection"
"0","2007-10-22T05:00:00Z","25.899-1","ANM-100","Electrical bonding and protection against static electricity"
"0","2008-10-24T05:00:00Z","25.795-2A","ANM-100","Flight Deck Penetration Resistance"
"0","2004-06-03T05:00:00Z","120-83","AFS-220","Flight Deck Observer Seat and Associated Equipment"
"0","2007-06-01T05:00:00Z","91-77","AJR-1","General Aviation, Coded Departure Routes (CDR)"
"0","2007-11-20T05:00:00Z","25.1529-1A","ANM-100","Instructions for Continued airworthiness of Structural Repairs on Transport Airplanes"
"0","2008-06-10T05:00:00Z","135-42","AFS-220","Extended Operations (ETOPS) and Operations in the North Polar Area"
"0","1998-03-11T05:00:00Z","187-2","AIR-230","Aircraft Certification Service Fees for Providing Production Certification-Related Services Outside the United States"
"0","2008-09-29T05:00:00Z","150/5210-18A","AAS-100","Systems for Interactive Training Of Airport Personnel"
"0","1989-10-10T05:00:00Z","00-41B","ASU-430","FAA Quality Control System Certification Program"
"0","2007-10-22T05:00:00Z","25.869-1A","ANM-100","Fire Protection: Systems"
"0","2009-06-11T05:00:00Z","33-7A","ANE-111","Guidance for 30-Second and 2-Minute One-Engine-Inoperative (OEI) Ratings for Rotorcraft Turbine Engines"
"0","2009-06-12T05:00:00Z","150/5210-19A","AAS-100","Driver's Enhanced Vision System (DEVS)"
"0","2009-09-08T05:00:00Z","33.83-1","ANE-111","Comparative Method to Show Equivalent Vibratory Stresses and High Cycle Fatigue Capability for Parts Manufacturer Approval of Turbine Engine and Auxiliary Power Unit Parts"
"0","1983-08-05T05:00:00Z","150/5020-1","APP-400","Noise Control and Compatibility Planning for Airports"
"0","2007-11-20T05:00:00Z","120-93","ANM-100","Damage Tolerance Inspections for Repairs and Alterations"
"0","1995-02-07T05:00:00Z","90-95","AFS-800","Unanticipated Right Yaw in Helicopters"
"0","1986-01-16T05:00:00Z","20-67B","AIR-120","Airborne VHF Communication Equipment Installations"
"0","2008-06-24T05:00:00Z","91-80","AJR-1","Air Traffic Control System Command Center (ATCSCC) Hotlines"
"0","1973-04-05T05:00:00Z","21-13","AIR-200","Standard Airworthiness Certification of Surplus Military Aircraft and Aircraft Built from Spare and Surplus Parts"
"0","1983-02-01T05:00:00Z","65-24","AFS-350","Certification of a Repairman (General)"
"","2010-09-29T05:00:00Z","21-45","AIR-100","Commercial Parts"
"","2010-09-30T05:00:00Z","150/5210-24","AAS-300","Airport Foreign Object Debris (FOD) Management"
"0","2007-10-22T05:00:00Z","25.1357-1A","ANM-100","Circuit protective devices"
"0","2008-10-24T05:00:00Z","25.795-7","ANM-100","Survivability of Systems"
"0","2009-08-28T05:00:00Z","33.70-2","AIR-600","Damage Tolerance of Hole Features in High-Energy Turbine"
"0","2009-03-31T05:00:00Z","91-84","AFS-800","Fractional Ownership Programs"
"0","2007-01-17T05:00:00Z","121-38","ADG-1","Reporting Hazardous Materials Discrepancies to the Federal Aviation Administration"
"0","2009-09-30T05:00:00Z","150/5345-54B","AAS-100","Specification for L-884, Power and Control Unit for Land and Hold Short Lighting Systems"
"","2011-01-10T05:00:00Z","120-107","AFS-200","Use of Remote On-Ground Ice Detection System"
"0","2009-09-30T05:00:00Z","150/5380-9","AAS-100","Guidelines and Procedures for Measuring Airfield Pavement Roughness"
"","2010-09-30T05:00:00Z","20-169","AIR-100","Guidance for Certification of Military and Special Mission Modifications and Equipment for Commercial Derivative Aircraft (CDA)"
"","2011-01-10T05:00:00Z","120-104","ANM-100","Establishing and Implementing Limit of Validity to Prevent Widespread Fatigue Damage"
"","2010-08-17T05:00:00Z","20-141B","AIR-626","Airworthiness and Operational Approval of Digital Flight Data Recorder Systems with Change 1"
"","2011-02-16T05:00:00Z","61-91J","AFS-800","WINGS - Pilot Proficiency Programs"
"1","2010-09-07T05:00:00Z","120-79A","AFS-300","Developing and Implementing an Air Carrier Continuing Analysis and Surveillance System"
"0","2011-06-01T05:00:00Z","150/5220-10E","AAS-100","Guide Specification for Aircraft Rescue and Fire Fighting (ARFF) Vehicles"
"0","2010-09-29T05:00:00Z","150/5345-3G","AAS-100","Specification for L-821, Panels for the Control of Airport Lighting"
"1","1998-09-08T05:00:00Z","43.13-1B","AFS-350","Acceptable Methods, Techniques, and Practices - Aircraft Inspection and Repair [Large AC. This includes Change 1.]"
"","2011-09-27T05:00:00Z","20-173","AIR-130","Installation of Electronic Flight Bag Components"
"0","2008-07-29T05:00:00Z","25.856-2A","ANM-115","Installation of Thermal/Acoustic Insulation for Burnthrough Protection"
"0","2009-05-21T05:00:00Z","150/5300-18B","AAS-100","General Guidance and Specifications for Submission of Aeronautical Surveys to NGS: Field Data Collection and Geographic Information System (GIS) Standards"
"0","2008-03-03T05:00:00Z","43.13-2B","AFS-300","Acceptable Methods, Techniques, and Practices - Aircraft Alterations"
"0","2009-09-30T05:00:00Z","20-27G","AIR-200","Certification and Operation of Amateur-Built Aircraft"
"1","2009-09-08T05:00:00Z","20-107B","AIR-100","Composite Aircraft Structure"
"1","2006-01-19T05:00:00Z","120-88A","AFS-200","Preventing Injuries Caused by Turbulence"
"1","1976-04-07T05:00:00Z","43-11","AFS-340","Reciprocating Engine Overhaul Terminology and Standards - Including Change 1"
"0","2010-04-01T05:00:00Z","150/5210-5D","AAS-100","Painting, Marking, and Lighting of Vehicles Used on an Airport"
"","2010-07-23T05:00:00Z","21-26A","AIR-200","Quality Control for the Manufacture of Composite Structures"
"1","2010-06-28T05:00:00Z","120-101","AFS-200","Part 121 Air Carrier Operational Control - Change 1"
"0","2009-08-19T05:00:00Z","33-8","ANE-111","Guidance for Parts Manufacturer Approval of Turbine Engine and Auxiliary Power Unit Parts under Test and Computation"
"2","2009-06-19T05:00:00Z","150/5200-31C","AAS-300","Airport Emergency Plan (Consolidated AC includes Change 2)"
"","2010-09-29T05:00:00Z","150/5000-16","AAS-100","Announcement of Availability of the Guide for Private Flyers - U.S. International Airports"
"","2011-02-04T05:00:00Z","33.15-2","ANE-111","Manufacturing Processes for Premium Quality Nickel Alloy for Engine Rotating Parts"
"1","2011-02-23T05:00:00Z","120-55C","AFS-400","Air Carrier Operational Approval and Use of TCAS II"
"1","2011-08-23T05:00:00Z","91-82A","ACE-100","Fatigue Management Programs for In-Service Issues"
"0","2010-09-30T05:00:00Z","150/5220-17B","AAS-100","Aircraft Rescue and Fire Fighting (ARFF) Training Facilities"
"","2010-12-13T05:00:00Z","25.1322-1","ANM-100","Flightcrew Alerting"
"","2011-03-29T05:00:00Z","150/5370-17","AAS-100","Airside Use of Heated Pavement Systems"
"1","2011-03-03T05:00:00Z","90-108","AFS-400","Use of suitable Area navigation (RNAV) system on Conventional Routes and Procedures - Change 1"
"2","2011-06-01T05:00:00Z","39-9","AFS-330","Airworthiness Directives Management Process"
"","2011-01-14T05:00:00Z","20-42D","AIR-120","Hand Fire Extinguishers for Use in Aircraft"
"","2013-07-23T05:00:00Z","150/5000-15B","AAS-100","Announcement of Availability of Airport-Related Research and Development Products"
"","2011-09-30T05:00:00Z","150/5300-17C","AAS-100","Standards for Using Remote Sensing Technologies in Airport Surveys (Consolidated to Include Change 1)"
"","2010-08-31T05:00:00Z","21-32B","AIR-200","Control of Products and Parts Shipped Prior to Type Certificate Issuance"
"0","2014-06-20T05:00:00Z","150/5340-26C","AAS-100","Maintenance of Airport Visual Aid Facilities"
"","2012-07-30T05:00:00Z","120-74B","AFS-200","Parts 91, 121, 125, and 135 Flightcrew Procedures During Taxi Operations"
"","2012-06-29T05:00:00Z","150/5220-21C","AAS-100","Aircraft Boarding Equipment"
"","2010-12-09T05:00:00Z","33.91-1","ANE-111","Engine System and Component Tests"
"0","2010-09-29T05:00:00Z","150/5210-13C","AAS-300","Airport Water Rescue Plans and Equipment"
"","2013-04-22T05:00:00Z","90-93B","AJT-0","Operating Procedures for Airport Traffic Control Towers (ATCT) that are not Operated by, or Under Contract with, the United States (Non-Federal)"
"","2011-06-23T05:00:00Z","150/5100-19D","ACO-100","Guide for Airport Financial Reports Filed by Airport Sponsors"
"1","2014-04-07T05:00:00Z","00-63A","AFS-400","Use of Cockpit Displays of Digital Weather and Aeronautical Information - Including Change 1"
"","2012-07-30T05:00:00Z","91-73B","AFS-200","Parts 91 and 135 Single Pilot, Flight School Procedures During Taxi Operations"
"1","2013-11-05T05:00:00Z","120-53B","AFS-100","Guidance for Conducting and Use of Flight Standardization Board Evaluations - With Change 1"
"","2000-02-10T05:00:00Z","91-58A","AFS-820","Uus of Pyrotechnic isual Distress Signaling Devices"
"0","2014-09-24T05:00:00Z","150/5220-20A","AAS-100","Airport Snow and Ice Control Equipment"
"","2014-12-23T05:00:00Z","20-150B","AIR-130","Airworthiness Approval of Satellite Voice (SATVOICE) Equipment Supporting Air Traffic Service (ATS) Communication"
"","2012-03-12T05:00:00Z","25.803-1A","ANM-115","Emergency Evacuation Demonstrations"
"","2018-08-20T05:00:00Z","150/5200-38","AAS-300","Protocol for the Conduct and Review of Wildlife Hazard Site Visits, Wildlife Hazard Assessments, and Wildlife Hazard Management Plans"
"","2011-11-17T05:00:00Z","23-17C","ACE-100","Systems and Equipment Guide for Certification of Part 23 Airplanes and Airships"
"","2013-05-03T05:00:00Z","25.1302-1","ANM-111","Installed Systems and Equipment for Use by the Flightcrew"
"","2011-12-28T05:00:00Z","25.729-1","ANM-110","Transport Airplane Landing Gear Retracting Mechanism"
"","2015-10-01T05:00:00Z","21-43A","AIR-110","Production Under 14 CFR Part 21,Subparts F, G, K, and O"
"","2012-10-11T05:00:00Z","117-2","AFS-220","Fatigue Education and Awareness Training Program"
"","2013-07-12T05:00:00Z","61-139","AFS-800","Institution of Higher Education’s Application for Authority to Certify its Graduates for an Airline Transport Pilot Certificate with Reduced Aeronautical Experience"
"","2015-07-14T05:00:00Z","120-112","AFS-200","Use of Liquid Water Equivalent System to Determine Holdover Times or Check Times for Anti-Icing Fluids"
"","2016-01-04T05:00:00Z","20-77B","AFS-300","Use of Manufacturers’ Maintenance Manuals"
"","2013-12-04T05:00:00Z","105-2E","AFS-800","Sport Parachuting"
"","2010-09-29T05:00:00Z","21-47","AIR-100","Submittal Of Data To An ACO, A DER Or An ODA For A Major Repair Or Major Alteration"
"","2011-11-17T05:00:00Z","23.1309-1E","ACE-100","System Safety Analysis and Assessment for Part 23 Airplanes"
"","2011-02-11T05:00:00Z","90-107","AFS-400","Guidance for Localizer Performance with Vertical Guidance and Localizer Performance without Vertical Guidance Approach Operations in the U.S. National Airspace System"
"1","2018-09-14T05:00:00Z","20-62E","AFS-300","Eligibility, Quality, & Identification of Aeronautical Replacement Parts"
"","2013-04-12T05:00:00Z","43-209A","AFS-300","Recommended Inspection Procedures for Former Military Aircraft"
"","2013-02-08T05:00:00Z","65-32A","AFS-300","Certification of Repairmen (Light-Sport Aircraft)"
"","2013-04-18T05:00:00Z","120-105A","AFS-410","Foreign Terminal Instrument Procedures (FTIP) Acceptance/Review"
"","2013-05-06T05:00:00Z","120-103A","AFS-220","Fatigue Risk Management Systems for Aviation Safety"
"1","2012-09-12T05:00:00Z","120-102A","AFS-300","Incorporation of Electrical Wiring Interconnection Systems Instructions for Continued Airworthiness into an Operator’s Maintenance Program (Including Change 1)"
"","2014-09-23T05:00:00Z","90-116","AFS-800","Additional Pilot Program for Phase I Flight Test"
"","2014-12-12T05:00:00Z","25.415-1","ANM-115","Ground Gust Conditions"
"1","2014-10-27T05:00:00Z","25.1329-1C","ANM-110","Approval of Flight Guidance Systems, Including Change 1"
"","2014-03-21T05:00:00Z","21.303-4","AIR-110","Application for Parts Manufacturer Approval Via Tests and Computations or Identicality"
"0","2013-05-31T05:00:00Z","150/5200-32B","AAS-300","Reporting Wildlife Aircraft Strikes"
"","2010-10-29T05:00:00Z","21-48","AIR-100","Using Electronic Modeling Systems as Primary Type Design Data"
"","2015-05-20T05:00:00Z","20-172B","AIR-130","Airworthiness Approval for ADS-B In Systems and Applications"
"","2015-05-15T05:00:00Z","61-135A","AFS-800","Conversion Process for Pilot Certificates in Accordance with the Implementation Procedures for Licensing as part of the Bilateral Aviation Safety Agreement Between the Federal Aviation Administration and Transport Canada Civil Aviation Authority for Pilot Licensing"
"","2015-01-08T05:00:00Z","120-92B","AFS-900","Safety Management Systems for Aviation Service Providers"
"0","2016-03-02T05:00:00Z","150/5345-46E","AAS-100","Specification for Runway and Taxiway Light Fixtures"
"","2015-10-01T05:00:00Z","45-2E","AIR-100","Identification and Registration Marking"
"1","2016-01-06T05:00:00Z","120-113","AFS-300","Best Practices for Engine Time In Service Interval Extensions - Change 1"
"","2016-10-31T05:00:00Z","150/5100-21","APP-520","State Block Grant Program"
"","2016-03-07T05:00:00Z","90-105A","AFS-400","Approval Guidance for RNP Operations and Barometric Vertical Navigation in the U.S. National Airspace System and in Oceanic and Remote Continental Airspace"
"","2016-09-15T05:00:00Z","125-1A","AFS-200","Operations of Large Airplanes Subject to 14 CFR Part 125"
"","2015-08-04T05:00:00Z","00-66","AIR-130","Selection of Cyclic Redundancy Code and Checksum Algorithms to Ensure Critical Data Integrity"
"0","2009-09-30T05:00:00Z","150/5220-24","AAS-100","Foreign Object Debris Detection Equipment"
"","2017-10-03T05:00:00Z","90-117","AFS-400","Data Link Communications"
"","2017-08-21T05:00:00Z","137-1B","AFS-800","Certification Process for Agricultural Aircraft Operators"
"0","2015-06-12T05:00:00Z","150/5210-17C","AAS-300","Programs for Training of Aircraft Rescue and Firefighting Personnel"
"","2014-06-24T05:00:00Z","90-115","AJR-1","Collaborative Trajectory Options Program  (CTOP)"
"","2017-10-27T05:00:00Z","91.21-1D","AFS-300","Use of Portable Electronic Devices Aboard Aircraft"
"","2015-06-29T05:00:00Z","90-109A","AFS-800","Transition to Unfamiliar Aircraft"
"1","1983-10-28T05:00:00Z","43-12A","AFS-340","Preventive Maintenance"
"","2017-07-21T05:00:00Z","00-69","AIR-100","The title is Best Practices for Airborne Software Development Assurance Using EUROCAE ED-12( ) and RTCA DO-178( )"
"","2017-08-07T05:00:00Z","43-215","AFS-300","Standardized Procedures for Performing Aircraft Magnetic Compass Calibration"
"","2022-09-16T05:00:00Z","20-189","AIR-600","Management of Open Problem Reports (OPRs)"
"","2015-07-07T05:00:00Z","20-18B","ANE-111","Qualification Testing of Turbojet and Turbofan Engine Thrust Reversers"
"","2022-09-16T05:00:00Z","00-71","AIR-600","Best Practices for Management of Open Problem Reports (OPRs)"
"","2016-03-23T05:00:00Z","150/5100-20","APP-400","Guidance on the Extraction of Oil and Gas on Federally Obligated Airports"
"0","2014-09-10T05:00:00Z","150/5320-17A","AAS-100","Airfield Pavement Surface Evaluation and Rating Manuals"
"","2016-09-28T05:00:00Z","20-140C","AIR-130","Guidelines for Design Approval of Aircraft Data Link Communication Systems Supporting Air Traffic Services (ATS)"
"0","2015-09-01T05:00:00Z","150/5210-20A","AAS-300","Ground Vehicle Operations to include Taxiing or Towing an Aircraft on Airports"
"","2015-12-22T05:00:00Z","25-32","ANM-111","Landing Performance Data for Time-of-Arrival Landing Performance Assessments"
"","2016-09-14T05:00:00Z","39-10","AIR-100","Alternative Methods of Compliance"
"1","2013-03-29T05:00:00Z","61-107B","AFS-800","Aircraft Operations at Altitudes Above 25,000 Feet Mean Sea Level or Mach Numbers Greater Than .75/ with Change 1"
"","2014-10-06T05:00:00Z","25.621-1","ANM-115","Casting Factors"
"2","2020-10-29T05:00:00Z","150/5200-30D","AAS-300","Airport Field Condition Assessments and Winter Operations Safety"
"1","2016-07-12T05:00:00Z","21-29D","AIR-600","Detecting and Reporting Suspected Unapproved Parts"
"","2015-10-01T05:00:00Z","21-44A","AIR-100","Issuance of Export Airworthiness Approvals Under 14 CFR Part 21 Subpart L"
"","2016-10-04T05:00:00Z","91-70B","AFS-400","Oceanic and Remote Continental Airspace Operations"
"","2018-06-25T05:00:00Z","61-141","AFS-800","Flight Instructors as Certifying Officials for Student Pilot and Remote Pilot Applicants"
"","2018-05-04T05:00:00Z","25-7D","AIR-600","Flight Test Guide for Certification of Transport Category Airplanes"
"2","2014-03-28T05:00:00Z","20-138D","AIR-130","Airworthiness Approval of Positioning and Navigation Systems (Including Change 2)"
"","2018-07-02T05:00:00Z","120-118","AFS-400","Criteria for Approval/Authorization of all Weather Operations for Takeoff, Landing, and Rollout"
"","2021-03-15T05:00:00Z","91-92","AFS-800","Pilot’s Guide to a Preflight Briefing"
"","2020-10-06T05:00:00Z","135-45","AFS-200","Use of Noncertified Weather Observations in Noncontiguous States"
"","2018-09-24T05:00:00Z","25.954-1","AIR-600","Transport Airplane Fuel System Lightning Protection"
"","2021-08-19T05:00:00Z","450.117-1","AST-1","Trajectory Analysis for Normal Flight"
"","2021-06-24T05:00:00Z","450.115-1A","AST-1","High Fidelity Flight Safety Analysis"
"0","2018-09-24T05:00:00Z","25.981-1D","AIR-600","Fuel Tank Ignition Source Prevention Guidelines"
"","2020-10-08T05:00:00Z","120-26N","AJR-2","Assignment of Aircraft Call Signs and Associated Telephonies"
"","2017-10-27T05:00:00Z","120-76D","AFS-400","Authorization for Use of Electronic Flight Bags"
"1","2017-03-10T05:00:00Z","150/5220-16E","AJW-144","Automated Weather Observing Systems (AWOS) for Non-Federal Applications - with Change 1"
"0","2023-07-10T05:00:00Z","150/5220-9B","AAS-300","Aircraft Arresting Systems on Civil Airports"
"0","2018-10-11T05:00:00Z","20-162B","AIR-600","Airworthiness Approval of Installed Radio Frequency Identification (RFID) Tags and Sensors"
"","2023-05-23T05:00:00Z","135-10C","AFS-300","Approved Aircraft Inspection Program"
"","2021-05-25T05:00:00Z","170-9A","AJW-121","Criteria for Assumption of Ownership of Non-Federal Systems"
"","2022-09-29T05:00:00Z","450.3-1","AST-1","Definition of Launch and Scope of a Vehicle Operator License"
"","2020-04-03T05:00:00Z","70-2B","AJR-2","REPORTING LASER ILLUMINATION OF AIRCRAFT"
"","2020-03-03T05:00:00Z","121-42","AFS-200","Leadership and Command Training for Pilots in Command"
"","2023-06-01T05:00:00Z","120-110A","AFS-200","Aircraft Secondary Barriers and Alternate Flightdeck Security Procedures"
"0","2020-08-25T05:00:00Z","120-57B","AFS-400","Surface Movement Guidance and Control System"
"","2021-01-27T05:00:00Z","20-185A","AIR-600","Airworthiness Approval of Synthetic Vision Systems, Synthetic Vision Guidance Systems and Aircraft State Awareness Synthetic Vision Systems"
"0","2019-07-29T05:00:00Z","150/5345-28H","AAS-100","Precision Approach Path Indicator (PAPI) Systems"
"","2018-12-12T05:00:00Z","43-217","AFS-300","Anticollision Light Maintenance (ACLM)"
"0","2019-12-19T05:00:00Z","150/5210-25A","AAS-100","Performance Specification for Airport Vehicle Runway Incursion Warning Systems (RIWS)"
"","2022-02-03T05:00:00Z","65-34A","AFS-200","FAA-Approved Aircraft Dispatcher Certification Courses"
"","2018-09-21T05:00:00Z","00-1.1B","AFS-800","Public Aircraft Operations—Manned and Unmanned"
"","2023-08-11T05:00:00Z","00-65A","AFS-300","Towbar and Towbarless Movement of Aircraft"
"0","2021-10-12T05:00:00Z","150/5345-39E","AAS-100","Specification for L-853, Runway and Taxiway Retroreflective Markers"
"","2021-08-12T05:00:00Z","450.173-1","AST-1","Part 450 Mishap Plan – Reporting, Response, and Investigation Requirements"
"","2020-11-16T05:00:00Z","70/7460-1M","AJV-P","Obstruction Marking and Lighting"
"","2023-03-22T05:00:00Z","120-108A","AFS-400","Continuous Descent Final Approach"
"0","2022-06-08T05:00:00Z","150/5000-9B","APP-400","Guidelines for Sound Insulation of Structures Exposed to Aircraft Noise"
"","2022-10-20T05:00:00Z","90-48E","AFS-800","Pilots’ Role in Collision Avoidance"
"","2023-06-27T05:00:00Z","25.795-10","AIR-600","Installation of Physical Secondary Barriers for Transport Category Airplanes"
"","2021-04-02T05:00:00Z","00-46F","AFS-200","Aviation Safety Reporting Program"
"","2018-06-25T05:00:00Z","20-190","AIR-600","Aircraft Electromagnetic Compatibility Certification"
"","2023-06-21T05:00:00Z","61-138A","AFS-200","Airline Transport Pilot Certification Training Program"
"","2020-01-27T05:00:00Z","120-48A","AFS-200","Communication and Coordination Between Flightcrew Members and Flight Attendants"
"0","2020-02-21T05:00:00Z","150/5200-33C","AAS-300","Hazardous Wildlife Attractants on or near Airports"
"","2023-04-05T05:00:00Z","150/5300-20","AAS-100","Submission of On-Airport Proposals for Aeronautical Study"
"","2021-12-15T05:00:00Z","150/5345-27F","AAS-100","FAA Specification for Wind Cone Assemblies"
"","2023-06-23T05:00:00Z","33.15-3","AIR-621","Powder Bed Fusion Additive Manufacturing Process for Aircraft Engine Parts"
"0","1994-01-06T05:00:00Z","25-9A","ANM-111","Smoke Detection, Penetration, and Evacuation Tests and Related Flight Manual Emergency Procedures"
"0","2000-07-24T05:00:00Z","121-29B","AFS-200","Carry-On Baggage"
"1","2010-10-28T05:00:00Z","20-170","AIR-120","Integrated Modular Avionics Development. Verification, Integration and Approval using RTCA/DO-297 and Technical Standard Order C153"
"1","2012-05-25T05:00:00Z","120-97A","AFS-300","Incorporation of Fuel Tank System Instructions for Continued Airworthiness into Operator Maintenance or Inspection Programs (Including Change 1)"
"0","2015-10-08T05:00:00Z","150/5345-44K","AAS-100","Specification for Runway and Taxiway Signs"
"1","2015-11-24T05:00:00Z","120-109A","AFS-200","Stall Prevention and Recovery Training with Change 1"
"","2015-12-07T05:00:00Z","20-165B","AIR-130","Airworthiness Approval of Automatic Dependent Surveillance - Broadcast OUT Systems"
"","2015-09-30T05:00:00Z","119-1","AFS-300","Airworthiness and Operational Approval of Aircraft Network Security Program (ANSP)"
"","2016-12-02T05:00:00Z","120-115","AFS-300","Maintainer Fatigue Risk Management"
"","2016-01-11T05:00:00Z","21-25B","AIR-100","Approval of Modified Seating System Initially Approved Under a Technical Standard Order"
"","2017-05-31T05:00:00Z","133-1B","AFS-800","Rotorcraft External-Load Operations"
"","2016-06-28T05:00:00Z","91-88","AFS-800","Electronics News Gathering Operations"
"","2016-08-11T05:00:00Z","135-7B","AFS-300","Part 135: Additional Maintenance Requirements for Aircraft Type Certificated for Nine or Less Passenger Seats"
"","2016-01-07T05:00:00Z","120-96A","AFS-200","Operations Control Center (OCC) for Helicopter Air Ambulance (HAA) Operations"
"","2016-04-19T05:00:00Z","20-153B","AIR-130","Acceptance of Aeronautical Data Processes and Associated Databases"
"","2017-06-09T05:00:00Z","20-164A","AIR-100","Designing and Demonstrating Aircraft Tolerance to Portable Electronic Devices"
"","2016-06-23T05:00:00Z","33.74/92-1B","ANE-111","Turbine Engine Continued Rotation and Rotor Locking"
"0","2013-09-26T05:00:00Z","150/5360-12F","AAS-100","Airport Signing and Graphics"
"","2014-10-07T05:00:00Z","25-30","ANM-115","Fuel Tank Strength in Emergency Landing Conditions"
"","2010-06-28T05:00:00Z","33.7-1","ANE-111","Ratings and Operating Limitations for Turbine Engines (Sections 33.7 and 33.8)"
"0","2010-09-08T05:00:00Z","150/5345-51B","AAS-100","Specification for Discharge-Type Flashing Light Equipment"
"","2016-10-01T05:00:00Z","20-182A","AIR-130","Airworthiness Approval for Aircraft Weather Radar Systems"
"","2017-01-17T05:00:00Z","150/5345-49D","AAS-100","Specification L-854, Radio Control Equipment"
"","2016-07-21T05:00:00Z","20-186","AFS-300","Airworthiness Operational Approval of Cockpit Voice Recorder Systems"
"1","1973-02-14T05:00:00Z","00-33A","AFS-300","Nickel-Cadmium Battery Operational, Maintenance, and Overhaul Practices"
"1","2014-01-22T05:00:00Z","136-2","AFS-300","Recommended Aircraft Maintenance Practices for Commercial Air Tour Operators - Change 1 Included"
"0","2019-07-08T05:00:00Z","150/5300-16B","AAS-100","General Guidance and Specifications for Aeronautical Surveys: Establishment of Geodetic Control and Submission to the National Geodetic Survey"
"","2016-03-11T05:00:00Z","21.101-1B","AIR-100","Establishing the Certification Basis of Changed Aeronautical Products"
"","2017-09-29T05:00:00Z","121-37A","AXH-1","Voluntary Disclosure Reporting Program - Hazardous Materials"
"","2014-09-23T05:00:00Z","33-11","ANE-111","Oxidation, Hot Corrosion, Thermal Fatigue, and Erosion Characteristics Testing to Support 14 CFR, Part 33, § 33.15, Compliancefor Turbine Engines"
"","2017-06-20T05:00:00Z","150/5000-17","APP-400","Critical Aircraft and Regular Use Determination"
"0","2018-08-08T05:00:00Z","99-1E","AJR-2","Emergency Security Control of Air Traffic (ESCAT)"
"0","2018-10-11T05:00:00Z","35-1A","AIR-600","Certification of Propellers"
"","2017-07-21T05:00:00Z","20-115D","AIR-134","Airborne Software Development Assurance Using EUROCAE ED-12( ) and RTCA DO-178( )"
"","2020-01-13T05:00:00Z","120-91A","AFS-400","Airport Obstacle Analysis"
"","2019-12-06T05:00:00Z","150/5100-13C","AAS-100","Development of State Aviation Standards for Airport Pavement Construction"
"0","2019-01-24T05:00:00Z","150/5200-36B","AAS-300","Qualifications for Wildlife Biologist Conducting Wildlife Hazard Assessments and Training Curriculums for Airport Personnel Involved in Controlling Wildlife Hazards on Airports"
"","2014-05-23T05:00:00Z","33.28-3","ANE-111","Guidance Material For 14 CFR §33.28, Engine Control Systems"
"0","2018-02-12T05:00:00Z","150/5340-30J","AAS-100","Design and Installation Details for Airport Visual Aids"
"","2018-12-19T05:00:00Z","00-70","AFS-200","Flightcrew Member Certificate Verification Plan"
"","2019-11-01T05:00:00Z","43.9-1G","AFS-300","Instructions for Completion of FAA Form 337"
"0","2020-03-17T05:00:00Z","150/5300-14D","AAS-100","Design of Aircraft Deicing Facilities"
"0","2018-10-11T05:00:00Z","20-144A","AIR-600","FAA Approval of Electrical Firing Cartridge Components in an Aircraft Fire Extinguishing or Suppression System"
"","2022-07-08T05:00:00Z","43-218","AFS-300","Operational Authorization of Integrated Aircraft Health Management System"
"","2020-12-22T05:00:00Z","89-1","AIR-600","Means of Compliance Process for Remote Identification of Unmanned Aircraft"
"","2020-12-22T05:00:00Z","89-2","AIR-600","Declaration of Compliance Process for Remote Identification of Unmanned Aircraft"
"","2018-09-12T05:00:00Z","61-136B","AFS-800","FAA Approval of Aviation Training Devices and Their Use for Training and Experience"
"1","2019-12-30T05:00:00Z","90-114B","AFS-400","Automatic Dependent Surveillance-Broadcast Operations with Change 1"
"","2022-10-19T05:00:00Z","89-3","AFS-400","FAA-Recognized Identification Areas"
"","2022-09-29T05:00:00Z","450.167-1","AST-1","Tracking for Launch and Reentry Safety Analysis"
"","2023-04-17T05:00:00Z","33.70-3","AIR-624","Damage Tolerance for Material Anomalies in Titanium Life-Limited Turbine Engine Rotors"
"0","2019-03-05T05:00:00Z","121-24D","AFS-200","Passenger Safety Information Briefing and Briefing Cards"
"","2021-06-28T05:00:00Z","120-68J","AFS-600","Pilot Records Database and Pilot Records Improvement Act"
"0","2019-10-28T05:00:00Z","150/5050-4A","APP-400","Community Involvement in Airport Planning"
"","2016-10-01T05:00:00Z","00-68","AIR-150","Aircraft Certification Service Voluntary Disclosure Reporting Program"
"","2023-03-16T05:00:00Z","120-80B","AFS-200","Firefighting of General and High-Energy In-Flight Fires"
